workerID,domain,utterance,utteranceType,utteranceExact,utteranceRounded,state,stateType,stateRounded,stateProb,affectProb,order
2,laptop,50,round,50,50,5000,round,5000,0.12755102,0.65,4
2,laptop,50,round,50,50,5001,sharp,5000,0.102040816,0.65,4
2,laptop,50,round,50,50,10000,round,10000,0.102040816,0.65,4
2,laptop,50,round,50,50,10001,sharp,10000,0.102040816,0.65,4
2,watch,501,sharp,501,500,50,round,50,0.08040201,0.35,5
2,watch,501,sharp,501,500,51,sharp,50,0.100502513,0.35,5
2,watch,501,sharp,501,500,500,round,500,0.120603015,0.35,5
2,watch,501,sharp,501,500,501,sharp,500,0.100502513,0.35,5
2,watch,501,sharp,501,500,1000,round,1000,0.100502513,0.35,5
2,watch,501,sharp,501,500,1001,sharp,1000,0.100502513,0.35,5
2,watch,501,sharp,501,500,5000,round,5000,0.100502513,0.35,5
2,watch,501,sharp,501,500,5001,sharp,5000,0.120603015,0.35,5
2,watch,501,sharp,501,500,10000,round,10000,0.075376884,0.35,5
2,watch,501,sharp,501,500,10001,sharp,10000,0.100502513,0.35,5
2,electric kettle,5001,sharp,5001,5000,50,round,50,0.119047619,0.625,6
2,electric kettle,5001,sharp,5001,5000,51,sharp,50,0.076190476,0.625,6
2,electric kettle,5001,sharp,5001,5000,500,round,500,0.10952381,0.625,6
2,electric kettle,5001,sharp,5001,5000,501,sharp,500,0.142857143,0.625,6
2,electric kettle,5001,sharp,5001,5000,1000,round,1000,0.114285714,0.625,6
2,electric kettle,5001,sharp,5001,5000,1001,sharp,1000,0.119047619,0.625,6
2,electric kettle,5001,sharp,5001,5000,5000,round,5000,0.095238095,0.625,6
2,electric kettle,5001,sharp,5001,5000,5001,sharp,5000,0.123809524,0.625,6
2,electric kettle,5001,sharp,5001,5000,10000,round,10000,0.061904762,0.625,6
2,electric kettle,5001,sharp,5001,5000,10001,sharp,10000,0.038095238,0.625,6
2,electric kettle,10001,sharp,9999,10000,50,round,50,0.073394495,0.65,7
2,electric kettle,10001,sharp,9999,10000,51,sharp,50,0.100917431,0.65,7
2,electric kettle,10001,sharp,9999,10000,500,round,500,0.091743119,0.65,7
2,electric kettle,10001,sharp,9999,10000,501,sharp,500,0.082568807,0.65,7
2,electric kettle,10001,sharp,9999,10000,1000,round,1000,0.110091743,0.65,7
2,electric kettle,10001,sharp,9999,10000,1001,sharp,1000,0.114678899,0.65,7
2,electric kettle,10001,sharp,9999,10000,5000,round,5000,0.091743119,0.65,7
2,electric kettle,10001,sharp,9999,10000,5001,sharp,5000,0.123853211,0.65,7
2,electric kettle,10001,sharp,9999,10000,10000,round,10000,0.100917431,0.65,7
2,electric kettle,10001,sharp,9999,10000,10001,sharp,10000,0.110091743,0.65,7
2,electric kettle,1000,round,1000,1000,50,round,50,0.099009901,0.6,8
2,electric kettle,1000,round,1000,1000,51,sharp,50,0.128712871,0.6,8
2,electric kettle,1000,round,1000,1000,500,round,500,0.079207921,0.6,8
2,electric kettle,1000,round,1000,1000,501,sharp,500,0.099009901,0.6,8
2,electric kettle,1000,round,1000,1000,1000,round,1000,0.099009901,0.6,8
2,electric kettle,1000,round,1000,1000,1001,sharp,1000,0.069306931,0.6,8
2,electric kettle,1000,round,1000,1000,5000,round,5000,0.099009901,0.6,8
2,electric kettle,1000,round,1000,1000,5001,sharp,5000,0.113861386,0.6,8
2,electric kettle,1000,round,1000,1000,10000,round,10000,0.118811881,0.6,8
2,electric kettle,1000,round,1000,1000,10001,sharp,10000,0.094059406,0.6,8
2,laptop,1001,sharp,999,1000,50,round,50,0.1,0.625,9
2,laptop,1001,sharp,999,1000,51,sharp,50,0.076923077,0.625,9
2,laptop,1001,sharp,999,1000,500,round,500,0.096153846,0.625,9
2,laptop,1001,sharp,999,1000,501,sharp,500,0.103846154,0.625,9
2,laptop,1001,sharp,999,1000,1000,round,1000,0.111538462,0.625,9
2,laptop,1001,sharp,999,1000,1001,sharp,1000,0.1,0.625,9
2,laptop,1001,sharp,999,1000,5000,round,5000,0.111538462,0.625,9
2,laptop,1001,sharp,999,1000,5001,sharp,5000,0.126923077,0.625,9
2,laptop,1001,sharp,999,1000,10000,round,10000,0.1,0.625,9
2,laptop,1001,sharp,999,1000,10001,sharp,10000,0.073076923,0.625,9
2,watch,500,round,500,500,50,round,50,0.103092784,0.625,10
2,watch,500,round,500,500,51,sharp,50,0.103092784,0.625,10
2,watch,500,round,500,500,500,round,500,0.134020619,0.625,10
2,watch,500,round,500,500,501,sharp,500,0.041237113,0.625,10
2,watch,500,round,500,500,1000,round,1000,0.144329897,0.625,10
2,watch,500,round,500,500,1001,sharp,1000,0.128865979,0.625,10
2,watch,500,round,500,500,5000,round,5000,0.092783505,0.625,10
2,watch,500,round,500,500,5001,sharp,5000,0.175257732,0.625,10
2,watch,500,round,500,500,10000,round,10000,0.046391753,0.625,10
2,watch,500,round,500,500,10001,sharp,10000,0.030927835,0.625,10
2,electric kettle,51,sharp,53,50,50,round,50,0.181102362,0.575,11
2,electric kettle,51,sharp,53,50,51,sharp,50,0.133858268,0.575,11
2,electric kettle,51,sharp,53,50,500,round,500,0.125984252,0.575,11
2,electric kettle,51,sharp,53,50,501,sharp,500,0.125984252,0.575,11
2,electric kettle,51,sharp,53,50,1000,round,1000,0.086614173,0.575,11
2,electric kettle,51,sharp,53,50,1001,sharp,1000,0.086614173,0.575,11
2,electric kettle,51,sharp,53,50,5000,round,5000,0.086614173,0.575,11
2,electric kettle,51,sharp,53,50,5001,sharp,5000,0.078740157,0.575,11
2,electric kettle,51,sharp,53,50,10000,round,10000,0.070866142,0.575,11
2,electric kettle,51,sharp,53,50,10001,sharp,10000,0.023622047,0.575,11
2,watch,10001,sharp,10003,10000,50,round,50,0.083743842,0.4,12
2,watch,10001,sharp,10003,10000,51,sharp,50,0.118226601,0.4,12
2,watch,10001,sharp,10003,10000,500,round,500,0.083743842,0.4,12
2,watch,10001,sharp,10003,10000,501,sharp,500,0.113300493,0.4,12
2,watch,10001,sharp,10003,10000,1000,round,1000,0.118226601,0.4,12
2,watch,10001,sharp,10003,10000,1001,sharp,1000,0.098522167,0.4,12
2,watch,10001,sharp,10003,10000,5000,round,5000,0.078817734,0.4,12
2,watch,10001,sharp,10003,10000,5001,sharp,5000,0.108374384,0.4,12
2,watch,10001,sharp,10003,10000,10000,round,10000,0.113300493,0.4,12
2,watch,10001,sharp,10003,10000,10001,sharp,10000,0.083743842,0.4,12
2,watch,5001,sharp,4997,5000,50,round,50,0.129807692,0.55,13
2,watch,5001,sharp,4997,5000,51,sharp,50,0.134615385,0.55,13
2,watch,5001,sharp,4997,5000,500,round,500,0.110576923,0.55,13
2,watch,5001,sharp,4997,5000,501,sharp,500,0.110576923,0.55,13
2,watch,5001,sharp,4997,5000,1000,round,1000,0.096153846,0.55,13
2,watch,5001,sharp,4997,5000,1001,sharp,1000,0.096153846,0.55,13
2,watch,5001,sharp,4997,5000,5000,round,5000,0.096153846,0.55,13
