participant,domain,utterance,utteranceType,utteranceExact,utteranceRounded,state,stateType,stateRounded,stateProb,affectProb,order
2,electric kettle,5001,sharp,5001,5000,1001,sharp,1000,0.625,0.625,6
2,electric kettle,5001,sharp,5001,5000,5000,round,5000,0.5,0.625,6
2,electric kettle,5001,sharp,5001,5000,5001,sharp,5000,0.65,0.625,6
2,electric kettle,5001,sharp,5001,5000,10000,round,10000,0.325,0.625,6
2,electric kettle,5001,sharp,5001,5000,10001,sharp,10000,0.2,0.625,6
2,electric kettle,10001,sharp,9999,10000,50,round,50,0.4,0.65,7
2,electric kettle,10001,sharp,9999,10000,51,sharp,50,0.55,0.65,7
2,electric kettle,10001,sharp,9999,10000,500,round,500,0.5,0.65,7
2,electric kettle,10001,sharp,9999,10000,501,sharp,500,0.45,0.65,7
2,electric kettle,10001,sharp,9999,10000,1000,round,1000,0.6,0.65,7
2,electric kettle,10001,sharp,9999,10000,1001,sharp,1000,0.625,0.65,7
2,electric kettle,10001,sharp,9999,10000,5000,round,5000,0.5,0.65,7
2,electric kettle,10001,sharp,9999,10000,5001,sharp,5000,0.675,0.65,7
2,electric kettle,10001,sharp,9999,10000,10000,round,10000,0.55,0.65,7
2,electric kettle,10001,sharp,9999,10000,10001,sharp,10000,0.6,0.65,7
2,electric kettle,1000,round,1000,1000,50,round,50,0.5,0.6,8
2,electric kettle,1000,round,1000,1000,51,sharp,50,0.65,0.6,8
2,electric kettle,1000,round,1000,1000,500,round,500,0.4,0.6,8
2,electric kettle,1000,round,1000,1000,501,sharp,500,0.5,0.6,8
2,electric kettle,1000,round,1000,1000,1000,round,1000,0.5,0.6,8
2,electric kettle,1000,round,1000,1000,1001,sharp,1000,0.35,0.6,8
2,electric kettle,1000,round,1000,1000,5000,round,5000,0.5,0.6,8
2,electric kettle,1000,round,1000,1000,5001,sharp,5000,0.575,0.6,8
2,electric kettle,1000,round,1000,1000,10000,round,10000,0.6,0.6,8
2,electric kettle,1000,round,1000,1000,10001,sharp,10000,0.475,0.6,8
2,laptop,1001,sharp,999,1000,50,round,50,0.65,0.625,9
2,laptop,1001,sharp,999,1000,51,sharp,50,0.5,0.625,9
2,laptop,1001,sharp,999,1000,500,round,500,0.625,0.625,9
2,laptop,1001,sharp,999,1000,501,sharp,500,0.675,0.625,9
2,laptop,1001,sharp,999,1000,1000,round,1000,0.725,0.625,9
2,laptop,1001,sharp,999,1000,1001,sharp,1000,0.65,0.625,9
2,laptop,1001,sharp,999,1000,5000,round,5000,0.725,0.625,9
2,laptop,1001,sharp,999,1000,5001,sharp,5000,0.825,0.625,9
2,laptop,1001,sharp,999,1000,10000,round,10000,0.65,0.625,9
2,laptop,1001,sharp,999,1000,10001,sharp,10000,0.475,0.625,9
2,watch,500,round,500,500,50,round,50,0.5,0.625,10
2,watch,500,round,500,500,51,sharp,50,0.5,0.625,10
2,watch,500,round,500,500,500,round,500,0.65,0.625,10
2,watch,500,round,500,500,501,sharp,500,0.2,0.625,10
2,watch,500,round,500,500,1000,round,1000,0.7,0.625,10
2,watch,500,round,500,500,1001,sharp,1000,0.625,0.625,10
2,watch,500,round,500,500,5000,round,5000,0.45,0.625,10
2,watch,500,round,500,500,5001,sharp,5000,0.85,0.625,10
2,watch,500,round,500,500,10000,round,10000,0.225,0.625,10
2,watch,500,round,500,500,10001,sharp,10000,0.15,0.625,10
2,electric kettle,51,sharp,53,50,50,round,50,0.575,0.575,11
2,electric kettle,51,sharp,53,50,51,sharp,50,0.425,0.575,11
2,electric kettle,51,sharp,53,50,500,round,500,0.4,0.575,11
2,electric kettle,51,sharp,53,50,501,sharp,500,0.4,0.575,11
2,electric kettle,51,sharp,53,50,1000,round,1000,0.275,0.575,11
2,electric kettle,51,sharp,53,50,1001,sharp,1000,0.275,0.575,11
2,electric kettle,51,sharp,53,50,5000,round,5000,0.275,0.575,11
2,electric kettle,51,sharp,53,50,5001,sharp,5000,0.25,0.575,11
2,electric kettle,51,sharp,53,50,10000,round,10000,0.225,0.575,11
2,electric kettle,51,sharp,53,50,10001,sharp,10000,0.075,0.575,11
2,watch,10001,sharp,10003,10000,50,round,50,0.425,0.4,12
2,watch,10001,sharp,10003,10000,51,sharp,50,0.6,0.4,12
2,watch,10001,sharp,10003,10000,500,round,500,0.425,0.4,12
2,watch,10001,sharp,10003,10000,501,sharp,500,0.575,0.4,12
2,watch,10001,sharp,10003,10000,1000,round,1000,0.6,0.4,12
2,watch,10001,sharp,10003,10000,1001,sharp,1000,0.5,0.4,12
2,watch,10001,sharp,10003,10000,5000,round,5000,0.4,0.4,12
2,watch,10001,sharp,10003,10000,5001,sharp,5000,0.55,0.4,12
2,watch,10001,sharp,10003,10000,10000,round,10000,0.575,0.4,12
2,watch,10001,sharp,10003,10000,10001,sharp,10000,0.425,0.4,12
2,watch,5001,sharp,4997,5000,50,round,50,0.675,0.55,13
2,watch,5001,sharp,4997,5000,51,sharp,50,0.7,0.55,13
2,watch,5001,sharp,4997,5000,500,round,500,0.575,0.55,13
2,watch,5001,sharp,4997,5000,501,sharp,500,0.575,0.55,13
2,watch,5001,sharp,4997,5000,1000,round,1000,0.5,0.55,13
2,watch,5001,sharp,4997,5000,1001,sharp,1000,0.5,0.55,13
2,watch,5001,sharp,4997,5000,5000,round,5000,0.5,0.55,13
2,watch,5001,sharp,4997,5000,5001,sharp,5000,0.425,0.55,13
2,watch,5001,sharp,4997,5000,10000,round,10000,0.4,0.55,13
2,watch,5001,sharp,4997,5000,10001,sharp,10000,0.35,0.55,13
