categoryID,type,featureSetNum,animal,normalizedProb,sd,se,ci
17,animal,5,goose,0.077647178,0.081998835,0.015780683,0.032437659
17,animal,6,goose,0.044034526,0.05646948,0.010867556,0.022338582
17,animal,7,goose,0.109674552,0.082115179,0.015803074,0.032483683
17,animal,8,goose,0.076974751,0.077410176,0.014897595,0.030622446
17,person,1,goose,0.154134162,0.045567447,0.008769459,0.018025882
17,person,2,goose,0.085091771,0.056295001,0.010833978,0.022269561
17,person,3,goose,0.131458081,0.034326449,0.006606128,0.013579091
17,person,4,goose,0.128921619,0.041957374,0.0080747,0.016597785
17,person,5,goose,0.148512324,0.048910338,0.009412799,0.019348285
17,person,6,goose,0.081028201,0.053087242,0.010216644,0.021000613
17,person,7,goose,0.111049195,0.046248775,0.008900581,0.018295406
17,person,8,goose,0.159804647,0.05571889,0.010723105,0.022041659
18,animal,1,horse,0.266241886,0.18310271,0.031401856,0.063887556
18,animal,2,horse,0.130485912,0.08635521,0.014809796,0.030130757
18,animal,3,horse,0.10541857,0.082660242,0.014176114,0.028841522
18,animal,4,horse,0.063826788,0.067715579,0.011613126,0.023627082
18,animal,5,horse,0.142551519,0.075668893,0.012977108,0.026402125
18,animal,6,horse,0.102863783,0.068444189,0.011738081,0.023881306
18,animal,7,horse,0.109632168,0.068686136,0.011779575,0.023965726
18,animal,8,horse,0.078979373,0.070313394,0.012058648,0.024533503
18,person,1,horse,0.132949018,0.06309604,0.010820882,0.022015249
18,person,2,horse,0.140007339,0.055701043,0.00955265,0.019435013
18,person,3,horse,0.078929333,0.049139808,0.008427408,0.01714569
18,person,4,horse,0.089610116,0.055849378,0.009578089,0.019486769
18,person,5,horse,0.161276469,0.103554796,0.017759501,0.036131977
18,person,6,horse,0.143096751,0.058850769,0.010092824,0.020534004
18,person,7,horse,0.120031354,0.052558097,0.009013639,0.018338387
18,person,8,horse,0.13409962,0.06070966,0.010411621,0.021182602
19,animal,1,kangaroo,0.220925257,0.091156683,0.016927371,0.034674148
19,animal,2,kangaroo,0.15173721,0.095143468,0.017667698,0.03619064
19,animal,3,kangaroo,0.097484999,0.080422886,0.014934155,0.03059123
19,animal,4,kangaroo,0.079045783,0.076843204,0.014269425,0.029229592
19,animal,5,kangaroo,0.164132807,0.063507347,0.011793018,0.024156903
19,animal,6,kangaroo,0.133847195,0.069425838,0.012892054,0.026408176
19,animal,7,kangaroo,0.092568975,0.075865235,0.014087821,0.028857592
19,animal,8,kangaroo,0.060257774,0.055537139,0.010312988,0.021125198
19,person,1,kangaroo,0.119680522,0.060485094,0.0112318,0.023007299
19,person,2,kangaroo,0.123579366,0.056492968,0.010490481,0.021488776
19,person,3,kangaroo,0.088893614,0.054914329,0.010197335,0.020888294
19,person,4,kangaroo,0.094634613,0.053320921,0.009901446,0.020282194
19,person,5,kangaroo,0.132729732,0.060446283,0.011224593,0.022992536
19,person,6,kangaroo,0.132121609,0.056479123,0.01048791,0.021483509
19,person,7,kangaroo,0.14804102,0.070291104,0.01305273,0.026737306
19,person,8,kangaroo,0.160319525,0.06407638,0.011898685,0.024373352
20,animal,1,lion,0.34563594,0.219022096,0.037021491,0.075236722
20,animal,2,lion,0.125278482,0.1095345,0.01851471,0.037626417
20,animal,3,lion,0.120349327,0.114873374,0.019417144,0.039460385
20,animal,4,lion,0.055059127,0.066245009,0.01119745,0.022755957
20,animal,5,lion,0.144112825,0.126397428,0.021365065,0.043419036
20,animal,6,lion,0.061320438,0.067832775,0.011465832,0.023301373
20,animal,7,lion,0.097116473,0.090311968,0.015265509,0.031023247
20,animal,8,lion,0.051127387,0.064868814,0.010964831,0.022283217
20,person,1,lion,0.108051937,0.077507342,0.013101132,0.026624703
20,person,2,lion,0.059276328,0.056005105,0.009466591,0.019238427
20,person,3,lion,0.076358631,0.06838937,0.011559913,0.023492571
20,person,4,lion,0.076686229,0.07055843,0.011926551,0.024237669
20,person,5,lion,0.140773415,0.069386641,0.011728483,0.023835145
20,person,6,lion,0.139490374,0.060233448,0.010181311,0.020690913
20,person,7,lion,0.200360007,0.088745743,0.015000768,0.030485229
20,person,8,lion,0.19900308,0.094764551,0.016018133,0.032552762
21,animal,1,monkey,0.213474064,0.07641331,0.014440758,0.029629989
21,animal,2,monkey,0.159442107,0.079353536,0.014996409,0.030770089
21,animal,3,monkey,0.135467652,0.077513421,0.01464866,0.030056567
21,animal,4,monkey,0.086139432,0.070395611,0.01330352,0.027296568
21,animal,5,monkey,0.149310359,0.068956045,0.013031468,0.026738363
21,animal,6,monkey,0.110659622,0.068107043,0.012871021,0.026409154
21,animal,7,monkey,0.083053088,0.067889483,0.012829906,0.026324793
21,animal,8,monkey,0.062453676,0.051500643,0.009732707,0.019969865
21,person,1,monkey,0.155380542,0.060665346,0.011464673,0.023523565
21,person,2,monkey,0.113888431,0.057729289,0.01090981,0.022385082
21,person,3,monkey,0.133487072,0.053970744,0.010199512,0.02092767
21,person,4,monkey,0.101915242,0.052361993,0.009895486,0.020303861
21,person,5,monkey,0.111724456,0.066165429,0.012504091,0.025656275
21,person,6,monkey,0.14180692,0.055298737,0.010450479,0.021442612
21,person,7,monkey,0.114814725,0.064709521,0.01222895,0.025091733
21,person,8,monkey,0.126982613,0.074272066,0.014036101,0.028799701
22,animal,1,owl,0.283387875,0.129553057,0.024932497,0.051249483
22,animal,2,owl,0.106545334,0.117984851,0.022706195,0.046673252
22,animal,3,owl,0.230363811,0.121178086,0.023320734,0.047936454
