categoryID,type,featureSetNum,animal,N,normalizedProb,sd,se,ci
19,person,3,kangaroo,28,0.102120499,0.034900304,0.006595537,0.013532925
19,person,4,kangaroo,28,0.109499857,0.038752158,0.007323469,0.015026518
19,person,5,kangaroo,28,0.129160422,0.03879148,0.007330901,0.015041766
19,person,6,kangaroo,28,0.129668146,0.035400158,0.006690001,0.013726748
19,person,7,kangaroo,28,0.135465837,0.043732697,0.008264703,0.01695777
19,person,8,kangaroo,28,0.144309129,0.03834307,0.007246159,0.014867891
20,animal,1,lion,35,0.277279005,0.156170923,0.026397704,0.053646589
20,animal,2,lion,35,0.11756304,0.058793638,0.009937939,0.020196321
20,animal,3,lion,35,0.124615389,0.082716913,0.01398171,0.028414254
20,animal,4,lion,35,0.078134195,0.048645419,0.008222577,0.016710286
20,animal,5,lion,35,0.134660233,0.085341767,0.014425391,0.029315923
20,animal,6,lion,35,0.08640885,0.048344767,0.008171757,0.016607008
20,animal,7,lion,35,0.106373997,0.059466094,0.010051604,0.020427318
20,animal,8,lion,35,0.07496529,0.051059568,0.008630642,0.017539575
20,person,1,lion,35,0.113960822,0.052480777,0.00887087,0.018027778
20,person,2,lion,35,0.083391612,0.043866807,0.007414844,0.015068775
20,person,3,lion,35,0.095578073,0.048327615,0.008168858,0.016601117
20,person,4,lion,35,0.092886012,0.05146188,0.008698645,0.017677774
20,person,5,lion,35,0.134899654,0.048918955,0.008268813,0.016804249
20,person,6,lion,35,0.133801915,0.036723373,0.006207383,0.01261492
20,person,7,lion,35,0.170918018,0.064719961,0.01093967,0.022232084
20,person,8,lion,35,0.174563894,0.067781046,0.011457088,0.023283604
21,animal,1,monkey,28,0.180568405,0.041593001,0.007860338,0.016128082
21,animal,2,monkey,28,0.141720985,0.043397351,0.008201328,0.016827736
21,animal,3,monkey,28,0.131341938,0.047507594,0.008978091,0.018421522
21,animal,4,monkey,28,0.098164778,0.046041753,0.008701074,0.017853128
21,animal,5,monkey,28,0.143753196,0.046081598,0.008708603,0.017868578
21,animal,6,monkey,28,0.119111849,0.043277288,0.008178639,0.01678118
21,animal,7,monkey,28,0.099732275,0.039489846,0.007462879,0.015312564
21,animal,8,monkey,28,0.085606573,0.033777835,0.006383411,0.013097677
21,person,1,monkey,28,0.147267688,0.036167953,0.006835101,0.014024468
21,person,2,monkey,28,0.118110911,0.03068625,0.005799156,0.011898886
21,person,3,monkey,28,0.132850136,0.029106689,0.005500647,0.011286396
21,person,4,monkey,28,0.109870038,0.028853978,0.005452889,0.011188405
21,person,5,monkey,28,0.115170585,0.03975589,0.007513157,0.015415725
21,person,6,monkey,28,0.135186852,0.030645297,0.005791417,0.011883006
21,person,7,monkey,28,0.116051542,0.032294948,0.006103172,0.012522674
21,person,8,monkey,28,0.125492248,0.038672549,0.007308425,0.014995649
22,animal,1,owl,27,0.233703708,0.089915362,0.01730422,0.035569333
22,animal,2,owl,27,0.10991788,0.075327143,0.014496715,0.029798425
22,animal,3,owl,27,0.180466431,0.073320479,0.014110533,0.029004616
22,animal,4,owl,27,0.087811682,0.063323246,0.012186564,0.025049842
22,animal,5,owl,27,0.116355764,0.063344952,0.012190742,0.025058428
22,animal,6,owl,27,0.077494012,0.054540258,0.010496278,0.021575407
22,animal,7,owl,27,0.121253673,0.074206427,0.014281033,0.029355085
22,animal,8,owl,27,0.072996851,0.049344414,0.009496337,0.01952
22,person,1,owl,27,0.106059097,0.034466272,0.006633037,0.013634403
22,person,2,owl,27,0.153983279,0.070863093,0.013637609,0.028032506
22,person,3,owl,27,0.104892168,0.03721439,0.007161913,0.014721522
22,person,4,owl,27,0.139951065,0.035693604,0.006869237,0.014119919
22,person,5,owl,27,0.103919012,0.025493461,0.004906219,0.010084877
22,person,6,owl,27,0.144038051,0.02975884,0.005727091,0.011772205
22,person,7,owl,27,0.106070491,0.034611073,0.006660904,0.013691684
22,person,8,owl,27,0.141086837,0.032071923,0.006172244,0.01268723
23,animal,1,ox,26,0.243447257,0.087003833,0.017062856,0.035141609
23,animal,2,ox,26,0.14515263,0.079318462,0.01555563,0.03203742
23,animal,3,ox,26,0.130854595,0.053698697,0.010531181,0.021689373
23,animal,4,ox,26,0.102495728,0.052936035,0.010381611,0.021381327
23,animal,5,ox,26,0.129931903,0.066892453,0.013118689,0.027018446
23,animal,6,ox,26,0.101290226,0.057331228,0.011243579,0.023156584
23,animal,7,ox,26,0.082338325,0.043367326,0.008505032,0.017516442
23,animal,8,ox,26,0.064489337,0.035591288,0.006980026,0.014375632
23,person,1,ox,26,0.140410179,0.028825365,0.005653119,0.011642817
23,person,2,ox,26,0.134017889,0.029035358,0.005694302,0.011727635
23,person,3,ox,26,0.125690923,0.02551922,0.005004731,0.010307436
23,person,4,ox,26,0.134294114,0.019808848,0.003884835,0.008000967
23,person,5,ox,26,0.125853952,0.016143307,0.003165963,0.006520423
23,person,6,ox,26,0.102501205,0.031460426,0.006169897,0.012707141
23,person,7,ox,26,0.126932797,0.021061923,0.004130583,0.008507095
23,person,8,ox,26,0.110298942,0.034873312,0.006839219,0.014085636
24,animal,1,penguin,24,0.252519226,0.105629734,0.021561579,0.044603525
24,animal,2,penguin,24,0.178298896,0.055335694,0.011295351,0.023366214
24,animal,3,penguin,24,0.162757706,0.060036931,0.012254987,0.025351373
24,animal,4,penguin,24,0.144621398,0.063081707,0.0128765,0.026637069
24,animal,5,penguin,24,0.065705382,0.052029296,0.010620435,0.021970045
24,animal,6,penguin,24,0.06475684,0.048949577,0.00999179,0.020669593
24,animal,7,penguin,24,0.06940097,0.050203909,0.01024783,0.021199251
24,animal,8,penguin,24,0.061939582,0.045930957,0.009375617,0.019394942
24,person,1,penguin,24,0.123694931,0.021396899,0.004367624,0.009035118
24,person,2,penguin,24,0.118933058,0.027426713,0.005598454,0.011581285
24,person,3,penguin,24,0.126977309,0.0272574,0.005563893,0.01150979
24,person,4,penguin,24,0.126970251,0.035473567,0.007241012,0.014979174
24,person,5,penguin,24,0.14132827,0.033642339,0.006867214,0.014205914
24,person,6,penguin,24,0.132117069,0.027032863,0.00551806,0.011414977
24,person,7,penguin,24,0.120721694,0.034981009,0.007140469,0.014771185
24,person,8,penguin,24,0.109257418,0.040062196,0.008177662,0.016916782
25,animal,1,pig,29,0.321510766,0.233989417,0.043450744,0.089004814
25,animal,2,pig,29,0.108305581,0.083988625,0.015596296,0.031947564
