"age","gender","condition","sentenceID","funniness","workerID.anonym","punType"
25,"F",2,235,-0.749281033,14,"identical"
35,"F",2,4,2.215055274,15,"identical"
35,"F",2,12,1.534387247,15,"identical"
35,"F",2,20,-0.507616834,15,"identical"
35,"F",2,28,2.895723301,15,"identical"
35,"F",2,36,-0.507616834,15,"identical"
35,"F",2,46,2.215055274,15,"identical"
35,"F",2,54,1.534387247,15,"identical"
35,"F",2,62,-0.507616834,15,"identical"
35,"F",2,67,0.173051193,15,"identical"
35,"F",2,75,-0.507616834,15,"identical"
35,"F",2,83,2.215055274,15,"identical"
35,"F",2,91,-0.507616834,15,"identical"
35,"F",2,99,-0.507616834,15,"identical"
35,"F",2,113,-0.507616834,15,"identical"
35,"F",2,121,-0.507616834,15,"identical"
35,"F",2,129,-0.507616834,15,"identical"
35,"F",2,137,-0.507616834,15,"identical"
35,"F",2,145,-0.507616834,15,"identical"
35,"F",2,147,-0.507616834,15,"identical"
35,"F",2,155,-0.507616834,15,"identical"
35,"F",2,163,-0.507616834,15,"identical"
35,"F",2,177,-0.507616834,15,"identical"
35,"F",2,185,-0.507616834,15,"identical"
35,"F",2,193,-0.507616834,15,"identical"
35,"F",2,201,-0.507616834,15,"identical"
35,"F",2,209,-0.507616834,15,"identical"
35,"F",2,211,-0.507616834,15,"identical"
35,"F",2,219,-0.507616834,15,"identical"
35,"F",2,227,-0.507616834,15,"identical"
35,"F",2,235,-0.507616834,15,"identical"
65,"F",2,4,2.225932901,16,"identical"
65,"F",2,12,2.225932901,16,"identical"
65,"F",2,20,2.225932901,16,"identical"
65,"F",2,28,2.225932901,16,"identical"
65,"F",2,36,2.225932901,16,"identical"
65,"F",2,46,0.850749224,16,"identical"
65,"F",2,54,1.538341063,16,"identical"
65,"F",2,62,2.225932901,16,"identical"
65,"F",2,67,0.163157385,16,"identical"
65,"F",2,75,-0.524434453,16,"identical"
65,"F",2,83,-0.524434453,16,"identical"
65,"F",2,91,-0.524434453,16,"identical"
65,"F",2,99,-0.524434453,16,"identical"
65,"F",2,113,-0.524434453,16,"identical"
65,"F",2,121,-0.524434453,16,"identical"
65,"F",2,129,-0.524434453,16,"identical"
65,"F",2,137,-0.524434453,16,"identical"
65,"F",2,145,-0.524434453,16,"identical"
65,"F",2,147,-0.524434453,16,"identical"
65,"F",2,155,-0.524434453,16,"identical"
65,"F",2,163,-0.524434453,16,"identical"
65,"F",2,177,-0.524434453,16,"identical"
65,"F",2,185,-0.524434453,16,"identical"
65,"F",2,193,-0.524434453,16,"identical"
65,"F",2,201,-0.524434453,16,"identical"
65,"F",2,209,-0.524434453,16,"identical"
65,"F",2,211,-0.524434453,16,"identical"
65,"F",2,219,-0.524434453,16,"identical"
65,"F",2,227,-0.524434453,16,"identical"
65,"F",2,235,-0.524434453,16,"identical"
25,"M",2,4,-0.089198356,17,"identical"
25,"M",2,12,2.249780767,17,"identical"
25,"M",2,20,2.249780767,17,"identical"
25,"M",2,28,2.249780767,17,"identical"
25,"M",2,36,-0.673943137,17,"identical"
25,"M",2,46,1.665035986,17,"identical"
25,"M",2,54,0.495546425,17,"identical"
25,"M",2,62,1.080291205,17,"identical"
25,"M",2,67,2.249780767,17,"identical"
25,"M",2,75,2.834525548,17,"identical"
25,"M",2,83,0.495546425,17,"identical"
